Data Set 1:Time(s),Data Set 1:Temperature 1(°C),Data Set 1:Temperature 2(°C)
0.0,21.0,21.0
0.1,21.0,21.0
0.2,21.0,21.0
0.3,21.0,21.0
0.4,21.0,21.0
0.5,21.0,21.0
0.6,21.0,21.0
0.7,21.1,21.0
0.8,21.0,21.0
0.9,21.0,21.0
1.0,21.0,21.0
1.1,21.0,21.0
1.2,21.2,21.2
1.3,21.0,21.1
1.4,21.0,21.0
1.5,21.1,21.0
1.6,21.0,21.0
1.7,21.0,21.1
1.8,21.0,21.0
1.9,21.1,21.1
2.0,21.0,21.0
2.1,21.0,21.0
2.2,21.0,21.0
2.3,21.1,21.0
2.4,21.1,21.1
2.5,21.0,21.1
2.6,21.0,21.0
2.7,21.1,21.0
2.8,21.1,21.0
2.9,21.0,21.0
3.0,21.1,21.0
3.1,21.0,21.0
3.2,21.1,21.1
3.3,21.0,21.0
3.4,21.1,21.0
3.5,21.1,21.1
3.6,21.1,21.1
3.7,21.1,21.0
3.8,21.0,21.0
3.9,21.1,21.1
4.0,21.0,21.0
4.1,21.0,21.0
4.2,21.3,21.1
4.3,21.0,21.1
4.4,21.1,21.0
4.5,21.1,21.0
4.6,21.2,21.1
4.7,21.1,21.0
4.8,21.1,21.0
4.9,21.1,21.1
5.0,21.2,21.0
5.1,21.1,21.0
5.2,21.1,21.1
5.3,21.1,21.1
5.4,21.1,21.1
5.5,21.1,21.1
5.6,21.1,21.1
5.7,21.1,21.1
5.8,21.1,21.1
5.9,21.1,21.1
6.0,21.2,21.1
6.1,21.2,21.1
6.2,21.2,21.2
6.3,21.2,21.1
6.4,21.3,21.3
6.5,21.2,21.2
6.6,21.3,21.2
6.7,21.6,21.3
6.8,21.3,21.2
6.9,21.3,21.2
7.0,21.4,21.2
7.1,21.3,21.3
7.2,21.4,21.3
7.3,21.7,21.5
7.4,21.6,21.3
7.5,21.6,21.3
7.6,21.6,21.2
7.7,21.7,21.3
7.8,21.7,21.4
7.9,22.1,21.5
8.0,21.8,21.4
8.1,21.9,21.4
8.2,22.0,21.4
8.3,22.0,21.4
8.4,22.1,21.5
8.5,22.1,21.5
8.6,22.1,21.5
8.7,22.2,21.5
8.8,22.2,21.5
8.9,22.3,21.6
9.0,22.3,21.5
9.1,22.4,21.6
9.2,22.5,21.6
9.3,22.5,21.6
9.4,22.7,21.7
9.5,22.7,21.7
9.6,22.7,21.7
9.7,22.8,21.8
9.8,23.0,21.9
9.9,23.0,21.8
10.0,23.1,21.8
10.1,23.3,21.9
10.2,23.2,21.9
10.3,23.2,21.8
10.4,23.2,21.9
10.5,23.5,22.0
10.6,23.4,21.9
10.7,23.5,21.9
10.8,23.5,21.9
10.9,23.5,21.9
11.0,23.6,21.9
11.1,23.7,21.9
11.2,23.8,22.2
11.3,23.8,22.0
11.4,23.8,22.0
11.5,24.0,22.0
11.6,24.0,22.1
11.7,24.2,22.1
11.8,24.2,22.1
11.9,24.2,22.1
12.0,24.2,22.2
12.1,24.2,22.2
