Data Set 1:Time(s),Data Set 1:Temperature 1(°C),Data Set 1:Temperature 2(°C)
26.2,25.4,25.4
26.3,25.3,25.4
26.4,25.3,25.4
26.5,25.3,25.4
26.6,25.3,25.4
26.7,25.3,25.4
26.8,25.3,25.4
26.9,25.3,25.4
27.0,25.3,25.4
27.1,25.5,25.5
27.2,25.3,25.4
27.3,25.3,25.4
27.4,25.5,25.5
27.5,25.3,25.4
27.6,25.3,25.4
27.7,25.3,25.4
27.8,25.3,25.4
27.9,25.4,25.4
28.0,25.3,25.4
28.1,25.3,25.4
28.2,25.5,25.5
28.3,25.3,25.4
28.4,25.3,25.5
28.5,25.3,25.4
28.6,25.3,25.5
28.7,25.3,25.4
28.8,25.3,25.4
28.9,25.3,25.4
29.0,25.3,25.4
29.1,25.3,25.4
29.2,25.3,25.4
29.3,25.3,25.7
29.4,25.4,25.4
29.5,25.3,25.4
29.6,25.3,25.4
29.7,25.3,25.4
29.8,25.3,25.4
29.9,25.3,25.4
30.0,25.5,25.5
30.1,25.3,25.4
30.2,25.4,25.7
30.3,25.3,25.4
30.4,25.3,25.4
30.5,25.3,25.4
30.6,25.4,25.4
30.7,25.3,25.4
30.8,25.3,25.4
30.9,25.3,25.4
31.0,25.3,25.4
31.1,25.3,25.4
31.2,25.3,25.4
31.3,25.5,25.4
31.4,25.3,25.4
31.5,25.3,25.4
31.6,25.3,25.4
31.7,25.4,25.4
31.8,25.3,25.4
31.9,25.3,25.4
32.0,25.3,25.5
32.1,25.6,25.7
32.2,25.3,25.4
32.3,25.3,25.4
32.4,25.3,25.4
32.5,25.3,25.4
32.6,25.3,25.4
32.7,25.3,25.4
32.8,25.3,25.4
32.9,25.3,25.4
33.0,25.3,25.4
33.1,25.3,25.4
33.2,25.3,25.4
33.3,25.4,25.4
33.4,25.3,25.4
33.5,25.3,25.4
33.6,25.6,25.7
33.7,25.3,25.4
33.8,25.4,25.4
33.9,25.3,25.4
34.0,25.3,25.4
34.1,25.3,25.4
34.2,25.5,25.7
34.3,25.4,25.4
34.4,25.3,25.4
34.5,25.3,25.4
34.6,25.3,25.4
34.7,25.3,25.4
34.8,25.3,25.4
34.9,25.3,25.4
35.0,25.3,25.4
35.1,25.6,25.6
35.2,25.3,25.4
35.3,25.6,25.7
35.4,25.3,25.4
35.5,25.3,25.4
35.6,25.3,25.4
35.7,25.3,25.4
35.8,25.3,25.4
35.9,25.3,25.4
36.0,25.3,25.4
36.1,25.3,25.4
36.2,25.3,25.4
36.3,25.3,25.4
36.4,25.3,25.4
36.5,25.3,25.4
36.6,25.3,25.4
36.7,25.3,25.4
36.8,25.5,25.4
36.9,25.6,25.7
37.0,25.3,25.7
37.1,25.3,25.4
37.2,25.3,25.4
37.3,25.4,25.4
37.4,25.3,25.4
37.5,25.4,25.4
37.6,25.3,25.4
37.7,25.3,25.4
37.8,25.3,25.4
37.9,25.3,25.3
38.0,25.3,25.4
38.1,25.3,25.3
38.2,25.3,25.4
38.3,25.3,25.4
38.4,25.3,25.4
38.5,25.3,25.3
38.6,25.4,25.4
38.7,25.3,25.4
38.8,25.3,25.4
38.9,25.3,25.3
39.0,25.3,25.4
39.1,25.5,25.5
39.2,25.3,25.4
39.3,25.3,25.7
39.4,25.3,25.4
39.5,25.3,25.4
39.6,25.3,25.5
39.7,25.3,25.4
39.8,25.4,25.4
39.9,25.3,25.4
40.0,25.3,25.4
40.1,25.3,25.4
40.2,25.3,25.3
40.3,25.3,25.3
40.4,25.3,25.4
40.5,25.3,25.4
40.6,25.4,25.4
40.7,25.3,25.4
40.8,25.3,25.4
40.9,25.3,25.4
41.0,25.3,25.3
41.1,25.3,25.4
41.2,25.3,25.4
41.3,25.3,25.4
41.4,25.3,25.4
41.5,25.3,25.4
41.6,25.3,25.4
41.7,25.3,25.4
41.8,25.3,25.3
41.9,25.3,25.4
42.0,25.3,25.4
42.1,25.3,25.4
42.2,25.3,25.4
42.3,25.3,25.4
42.4,25.3,25.4
42.5,25.6,25.7
42.6,25.3,25.4
42.7,25.3,25.3
42.8,25.3,25.4
42.9,25.3,25.3
43.0,25.3,25.4
43.1,25.3,25.4
43.2,25.3,25.4
43.3,25.3,25.5
43.4,25.3,25.3
43.5,25.3,25.3
43.6,25.3,25.4
43.7,25.4,25.4
43.8,25.3,25.4
43.9,25.6,25.7
44.0,25.3,25.4
44.1,25.3,25.4
44.2,25.3,25.4
44.3,25.3,25.3
44.4,25.3,25.3
44.5,25.6,25.6
44.6,25.3,25.4
44.7,25.3,25.4
44.8,25.3,25.4
44.9,25.3,25.4
45.0,25.3,25.4
45.1,25.3,25.4
45.2,25.3,25.3
45.3,25.4,25.4
45.4,25.3,25.4
45.5,25.3,25.3
45.6,25.3,25.3
45.7,25.3,25.6
45.8,25.3,25.3
45.9,25.3,25.6
46.0,25.3,25.3
46.1,25.3,25.3
46.2,25.3,25.3
46.3,25.4,25.5
46.4,25.3,25.3
46.5,25.3,25.3
46.6,25.3,25.3
46.7,25.3,25.3
46.8,25.3,25.4
46.9,25.3,25.3
47.0,25.3,25.3
47.1,25.3,25.3
47.2,25.3,25.4
47.3,25.3,25.3
47.4,25.6,25.7
47.5,25.3,25.3
47.6,25.3,25.3
47.7,25.3,25.3
47.8,25.3,25.3
47.9,25.3,25.3
48.0,25.3,25.2
48.1,25.3,25.3
48.2,25.3,25.3
48.3,25.3,25.3
48.4,25.3,25.4
48.5,25.3,25.3
48.6,25.3,25.2
48.7,25.3,25.3
48.8,25.3,25.3
48.9,25.3,25.3
49.0,25.3,25.3
49.1,25.3,25.3
49.2,25.3,25.3
49.3,25.6,25.4
49.4,25.3,25.3
49.5,25.3,25.2
49.6,25.3,25.3
49.7,25.3,25.2
49.8,25.3,25.3
49.9,25.3,25.3
50.0,25.3,25.3
50.1,25.3,25.3
50.2,25.3,25.4
50.3,25.5,25.3
50.4,25.3,25.3
50.5,25.3,25.3
50.6,25.3,25.2
50.7,25.3,25.3
50.8,25.3,25.2
50.9,25.3,25.2
51.0,25.3,25.3
51.1,25.3,25.4
51.2,25.3,25.2
51.3,25.3,25.3
51.4,25.3,25.3
51.5,25.3,25.3
51.6,25.3,25.3
51.7,25.3,25.2
51.8,25.3,25.3
51.9,25.3,25.3
52.0,25.4,25.4
52.1,25.3,25.3
52.2,25.3,25.3
52.3,25.3,25.3
52.4,25.3,25.3
52.5,25.3,25.2
52.6,25.3,25.3
52.7,25.3,25.2
52.8,25.3,25.3
52.9,25.3,25.4
53.0,25.5,25.5
53.1,25.3,25.2
53.2,25.3,25.2
53.3,25.3,25.3
53.4,25.3,25.2
53.5,25.6,25.4
53.6,25.3,25.2
53.7,25.3,25.3
53.8,25.3,25.2
53.9,25.3,25.3
54.0,25.3,25.2
54.1,25.3,25.3
54.2,25.3,25.3
54.3,25.3,25.2
54.4,25.3,25.2
54.5,25.3,25.4
54.6,25.3,25.3
54.7,25.3,25.2
54.8,25.6,25.4
54.9,25.3,25.2
55.0,25.3,25.2
55.1,25.3,25.2
55.2,25.3,25.2
55.3,25.6,25.5
55.4,25.3,25.2
55.5,25.3,25.3
55.6,25.3,25.2
55.7,25.3,25.3
55.8,25.3,25.2
55.9,25.3,25.2
56.0,25.3,25.3
56.1,25.3,25.2
56.2,25.3,25.3
56.3,25.3,25.2
56.4,25.4,25.3
56.5,25.6,25.5
56.6,25.3,25.2
56.7,25.3,25.3
56.8,25.3,25.2
56.9,25.3,25.3
57.0,25.3,25.2
57.1,25.3,25.3
57.2,25.3,25.2
57.3,25.3,25.2
57.4,25.3,25.2
57.5,25.3,25.2
57.6,25.3,25.4
57.7,25.3,25.2
57.8,25.3,25.2
57.9,25.3,25.2
58.0,25.3,25.2
58.1,25.4,25.4
58.2,25.3,25.2
58.3,25.3,25.2
58.4,25.3,25.2
58.5,25.3,25.2
58.6,25.6,25.5
58.7,25.3,25.2
58.8,25.3,25.2
58.9,25.3,25.3
59.0,25.3,25.2
59.1,25.3,25.2
59.2,25.3,25.2
59.3,25.3,25.2
59.4,25.3,25.2
59.5,25.3,25.2
59.6,25.3,25.2
59.7,25.3,25.2
59.8,25.5,25.3
59.9,25.3,25.3
